"Source","Target"
"6294","140890"
"6294","5430"
"6294","9667"
"6294","9414"
"6294","6732"
"6310","7531"
"6331","54221"
"6386","923"
"6386","7039"
"6386","6386"
"6386","4771"
"64130","64130"
"6421","140890"
"6426","9295"
"6426","140890"
"6427","9169"
"6427","9541"
"6427","9295"
"6427","140890"
"6428","140890"
"6429","140890"
"6430","140890"
"6431","140890"
"6432","140890"
"6434","140890"
"6446","5598"
"6455","8867"
"6455","152503"
"6455","1759"
"6456","8867"
"6456","153"
"6456","6456"
"6457","8867"
"6477","7846"
"6477","1600"
"6477","3835"
"6477","27101"
"6477","57630"
"6477","8650"
"6477","4299"
"6478","4299"
"6497","4089"
"6497","22938"
"6500","26259"
"6500","27101"
"6500","6502"
"6500","83461"
"6500","9978"
"6500","9820"
"6504","117157"
"6504","6504"
"6513","7329"
"6514","3838"
"6531","7041"
"6531","10399"
"6548","9448"
"6580","29956"
"659","3984"
"6597","2175"
"6597","23468"
"6597","57492"
"65993","1739"
"660","11099"
"66037","1617"
"6606","8880"
"6606","26578"
"6606","3609"
"6606","8487"
"6616","3799"
"6616","6453"
"663","663"
"6632","140890"
"6634","140890"
"6637","6867"
"6653","23062"
"6653","26088"
"6655","152503"
"6659","6386"
"6672","7341"
"6709","50944"
"6711","4771"
"672","8314"
"672","1660"
"672","7415"
"672","466"
"672","3726"
"672","2175"
"672","580"
"672","4609"
"6732","140890"
"6749","140890"
"6772","8554"
"6774","6118"
"6774","6774"
"6774","8553"
"6774","55250"
"6774","51079"
"6777","3643"
"6780","5499"
"6790","6867"
"6790","9793"
"6804","6813"
"6804","6616"
"6804","6531"
"6812","8448"
"6839","23468"
"6839","4090"
"6853","8224"
"6853","6854"
"6854","8224"
"6854","6854"
"6855","6477"
"6867","6867"
"6867","23424"
"6872","6879"
"6872","55723"
"6872","7343"
"6925","6925"
"6929","6886"
"6929","6943"
"6929","6929"
"6929","9464"
"6929","4066"
"6929","3399"
"6929","9261"
"6929","9242"
"6929","4656"
"7003","51442"
"7004","51442"
"7005","51442"
"7006","8651"
"7010","2886"
"7010","5781"
"7010","2888"
"7013","26277"
"7013","54984"
"7013","4683"
"7013","8658"
"7013","27283"
"7013","22919"
"7014","26277"
"7015","10519"
"7015","7514"
"7020","7157"
"7020","10370"
"7022","10370"
"7024","322"
"7025","2099"
"7037","11337"
"7041","28964"
"7046","11171"
"7048","11171"
"7048","7048"
"7049","10755"
"7128","8517"
"7128","7128"
"7128","7529"
"7132","8439"
"7132","8717"
"7132","7341"
"7133","7186"
"7133","10293"
"7133","7185"
"7150","10210"
"7150","55643"
"7150","53339"
"7155","7341"
"7157","10474"
"7157","22927"
"7157","204851"
"7157","1616"
"7157","6790"
"7157","8178"
"7157","7157"
"7157","8556"
"7157","3838"
"7161","5204"
"7161","1616"
"7161","28996"
"7162","10755"
"7178","7178"
"7182","126382"
"7182","221895"
"7182","7181"
"7185","10293"
"7186","10010"
"7186","10293"
"7186","23495"
"7186","92610"
"7186","51347"
"7186","5178"
"7186","23043"
"7186","5585"
"7186","8764"
"7187","26146"
"7187","80342"
"7187","23636"
"7189","171392"
"7189","51295"
"7189","8887"
"7249","7248"
"7249","9135"
"7249","7529"
"7249","7534"
"7251","137492"
"7251","79720"
"7251","55048"
"7257","7247"
"7273","2274"
"7295","4217"
"7295","10628"
"7296","10628"
"7306","10755"
"7307","6100"
"7307","8233"
"7307","9406"
"7329","4000"
"7329","51199"
"7329","6659"
"7332","25820"
"7337","5241"
"7345","10987"
"7409","6478"
"7409","397"
"7409","8651"
"7409","2146"
"7409","6850"
"7409","3190"
"7421","22938"
"7421","896"
"7431","5310"
"7454","50618"
"7454","9051"
"7454","392"
"7454","7456"
"7490","9391"
"7490","126374"
"7490","9589"
"7490","7329"
"7490","5074"
"7528","1871"
"7528","1870"
"7528","8819"
"7529","993"
"7529","7164"
"7529","5774"
"7529","1859"
"7529","5598"
"7529","4486"
"7529","5140"
"7529","3777"
"7529","7016"
"7529","23136"
"7531","7029"
"7531","10014"
"7531","10914"
"7531","993"
"7531","9759"
"7531","4486"
"7531","5923"
"7531","81565"
"7533","22999"
"7533","23136"
"7533","7128"
"7533","64283"
"7533","7538"
"7534","4291"
"7534","53616"
"7534","7164"
"7534","2550"
"7534","6310"
"7534","3984"
"7534","4486"
"754","9232"
"7554","4086"
"7554","4089"
"7554","4087"
"7554","4090"
"7554","4088"
"7703","4000"
"7704","7704"
"7709","3099"
"7791","4739"
"7832","9463"
"7855","57120"
"7919","84324"
"7919","140890"
"793","10048"
"801","5899"
"801","3783"
"801","5898"
"801","56479"
"801","3786"
"801","1741"
"801","3785"
"801","3845"
"801","4900"
"8021","57510"
"80279","1387"
"8038","152503"
"805","3785"
"805","3786"
"805","56479"
"808","10142"
"808","3785"
"808","3786"
"8089","8028"
"8089","6867"
"8089","7021"
"8092","2033"
"8106","22938"
"8161","8161"
"8161","6310"
"8165","26292"
"8165","11099"
"8204","8764"
"8204","190"
"8204","1487"
"8237","10048"
"8241","140890"
"825","7273"
"8312","2932"
"8313","2932"
"8325","57120"
"83737","4739"
"8379","23309"
"8379","8379"
"8408","8831"
"8409","367"
"841","8772"
"84687","55607"
"8487","8487"
"84897","1029"
"84960","1029"
"8499","28964"
"8499","831"
"8499","26059"
"85021","22841"
"85021","10928"
"8517","8737"
"8517","10010"
"8517","29775"
"8525","54212"
"85409","7039"
"85439","6453"
"8557","7273"
"857","7220"
"8573","1739"
"8573","50848"
"8573","8573"
"8573","22895"
"8573","10716"
"861","7088"
"861","10413"
"862","7704"
"8648","8850"
"8648","9325"
"8648","5241"
"8655","9229"
"8655","10018"
"8658","4170"
"8660","3643"
"867","30011"
"867","2534"
"867","10253"
"867","8470"
"8678","57120"
"87","9124"
"87","4026"
"87","5585"
"87","2893"
"87","87"
"87","117178"
"87","7273"
"87","8851"
"8717","7186"
"8726","8726"
"8754","10459"
"8754","51429"
"8761","22822"
"8761","140890"
"8766","22841"
"8766","9727"
"8766","80223"
"8766","26056"
"8772","57510"
"8773","8676"
"8773","8673"
"8773","6809"
"8773","23557"
"8773","134957"
"88","5311"
"88","283"
"88","2902"
"88","51778"
"88","88"
"88","3741"
"8825","10458"
"8851","815"
"8851","1123"
"8851","55755"
"8851","80279"
"8874","28964"
"8900","388324"
"8900","2874"
"8900","196528"
"891","10928"
"8932","85509"
"8932","25942"
"8932","54815"
"8932","8932"
"8932","25988"
"8932","53615"
"8932","57459"
"896","1382"
"896","984"
"896","10270"
"896","27335"
"896","861"
"896","5914"
"9001","9146"
"9001","4760"
"9001","1639"
"9051","25"
"9053","59341"
"9113","983"
"9135","23062"
"914","10421"
"914","30011"
"914","9051"
"9146","137492"
"9146","4771"
"9146","27043"
"9152","6386"
"9185","85021"
"9185","50807"
"9223","575"
"9223","10276"
"9223","150084"
"9223","1499"
"9230","9727"
"925","140890"
"9318","7068"
"9318","7067"
"9318","60491"
"933","1173"
"9332","1460"
"9343","140890"
"9351","3758"
"9351","6736"
"9368","4771"
"9368","3758"
"9368","55867"
"9406","140890"
"943","7186"
"9522","6453"
"9564","7534"
"9564","5747"
"9564","80725"
"961","664"
"9611","8841"
"9611","1105"
"9611","7704"
"9612","6776"
"9612","23013"
"9612","7704"
